0, acdebf
1, baedfc
2, bdefac
3, facebd
4, bafdec
5, febdca
6, dacfbe
7, fbdcae
8, badcef
9, badcfe
10, cdebfa
11, cbeafd
12, fadebc
13, afdebc
14, cdebfa
15, dbfcae
16, ceafbd
17, aebcfd
18, daebfc
19, fedbac
20, afcdeb
21, afbdce
22, acefbd
23, fceabd
24, dacbfe
25, cabefd
26, cbfade
27, bacfed
28, cbdeaf
29, bcfead
30, dcaefb
31, eafcdb
32, cebafd
33, efbdac
34, aedbcf
35, fcbead
36, dacfbe
37, dacefb
38, cdabfe
39, fedcab
40, dbeacf
41, dabefc
42, bdafce
43, dbfcea
44, faedcb
45, ecafdb
46, bacfde
47, becfda
48, defbca
49, fcedba
50, fcdbae
51, fdcaeb
52, ecadfb
53, cfbeda
54, abfdce
55, abfdec
56, bfedca
57, adbfec
58, ceabdf
59, edafbc
60, befdca
61, fdaceb
62, eacfdb
63, cfeadb
64, adbecf
65, badcfe
66, cdfeab
67, fabecd
68, baecdf
69, cdbeaf
70, deacfb
71, befadc
72, ecbfda
73, cbfaed
74, defcab
75, cbdaef
76, dbcafe
77, dfbcea
78, adcfeb
79, cfabde
80, cedbfa
81, facdbe
82, afebdc
83, fcdbae
84, baefcd
85, dcfeba
86, cbeadf
87, cabdef
88, bcdeaf
89, baecfd
90, efbcad
91, cabdef
92, daefbc
93, adcfbe
94, aefcdb
95, fbdaec
96, bedcfa
97, acefbd
98, dfbaec
99, fdaebc
100, aecfbd
101, deacbf
102, bacfde
103, daefcb
104, efadbc
105, cfabed
106, cafebd
107, efadcb
108, fcdabe
109, fbdeca
110, cbfeda
111, fcebad
112, dcbfea
113, fbcaed
114, defbac
115, bcadfe
116, efcdba
117, defacb
118, cdabef
119, acbdef
120, decbaf
121, efcdab
122, bdceaf
123, adcfbe
124, aecdfb
125, dbaecf
126, adcbfe
127, dafebc
128, cdefab
129, caedbf
130, cedbfa
131, faecbd
132, eabcdf
133, dfacbe
134, fecbda
135, caebfd
136, aefbcd
137, cebfad
138, abdfce
139, fcbeda
140, cfeadb
141, afcebd
142, acbdef
143, dbecfa
144, dcbefa
145, dbcaef
146, eafbcd
147, bdaefc
148, abfcde
149, fcaebd
